"force","duck.id","screwsize","bone","screwtype","side","location","sex","locationn","bone.id"
148.85,"s15",2,"femur","locking","L","L1","M",1,"s15Lf"
124.43,"s15",2,"femur","locking","L","L2","M",2,"s15Lf"
174.81,"s15",2,"femur","locking","L","L3","M",3,"s15Lf"
213.47,"s15",2,"femur","locking","L","L4","M",4,"s15Lf"
163.19,"s15",2,"femur","locking","L","L5","M",5,"s15Lf"
151.51,"s15",2,"femur","locking","R","L1","M",1,"s15Rf"
155.78,"s15",2,"femur","locking","R","L2","M",2,"s15Rf"
272.59,"s15",2,"femur","locking","R","L3","M",3,"s15Rf"
141.44,"s15",2,"femur","locking","R","L4","M",4,"s15Rf"
136.32,"s15",2,"femur","locking","R","L5","M",5,"s15Rf"
162.66,"s16",2,"femur","locking","L","L1","M",1,"s16Lf"
261.98,"s16",2,"femur","locking","L","L2","M",2,"s16Lf"
260.43,"s16",2,"femur","locking","L","L3","M",3,"s16Lf"
133.91,"s16",2,"femur","locking","L","L4","M",4,"s16Lf"
153.34,"s16",2,"femur","locking","L","L5","M",5,"s16Lf"
154.08,"s16",2,"femur","locking","R","L1","M",1,"s16Rf"
184.08,"s16",2,"femur","locking","R","L2","M",2,"s16Rf"
231.26,"s16",2,"femur","locking","R","L3","M",3,"s16Rf"
214.55,"s16",2,"femur","locking","R","L4","M",4,"s16Rf"
153.01,"s16",2,"femur","locking","R","L5","M",5,"s16Rf"
133.04,"s18",2,"femur","locking","L","L1","M",1,"s18Lf"
74.01,"s18",2,"femur","locking","L","L2","M",2,"s18Lf"
284.01,"s18",2,"femur","locking","L","L3","M",3,"s18Lf"
197.29,"s18",2,"femur","locking","L","L4","M",4,"s18Lf"
159.01,"s18",2,"femur","locking","L","L5","M",5,"s18Lf"
163.27,"s18",2,"femur","locking","R","L1","M",1,"s18Rf"
216.67,"s18",2,"femur","locking","R","L2","M",2,"s18Rf"
173.26,"s18",2,"femur","locking","R","L3","M",3,"s18Rf"
147.85,"s18",2,"femur","locking","R","L4","M",4,"s18Rf"
163.91,"s18",2,"femur","locking","R","L5","M",5,"s18Rf"
179.37,"s4",2,"femur","locking","L","L1","M",1,"s4Lf"
273.52,"s4",2,"femur","locking","L","L2","M",2,"s4Lf"
390.1,"s4",2,"femur","locking","L","L3","M",3,"s4Lf"
267.42,"s4",2,"femur","locking","L","L4","M",4,"s4Lf"
242.11,"s4",2,"femur","locking","L","L5","M",5,"s4Lf"
222.46,"s4",2,"femur","locking","R","L1","M",1,"s4Rf"
248.42,"s4",2,"femur","locking","R","L2","M",2,"s4Rf"
296.11,"s4",2,"femur","locking","R","L3","M",3,"s4Rf"
248.28,"s4",2,"femur","locking","R","L4","M",4,"s4Rf"
190.88,"s4",2,"femur","locking","R","L5","M",5,"s4Rf"
191.24,"s6",2,"femur","locking","L","L1","F",1,"s6Lf"
228.86,"s6",2,"femur","locking","L","L2","F",2,"s6Lf"
279.86,"s6",2,"femur","locking","L","L3","F",3,"s6Lf"
248.84,"s6",2,"femur","locking","L","L4","F",4,"s6Lf"
177.87,"s6",2,"femur","locking","L","L5","F",5,"s6Lf"
97.95,"s6",2,"femur","locking","R","L1","F",1,"s6Rf"
186.69,"s6",2,"femur","locking","R","L2","F",2,"s6Rf"
226.69,"s6",2,"femur","locking","R","L3","F",3,"s6Rf"
269.69,"s6",2,"femur","locking","R","L4","F",4,"s6Rf"
210.5,"s6",2,"femur","locking","R","L5","F",5,"s6Rf"
189.11,"s9",2,"femur","locking","L","L1","F",1,"s9Lf"
246.05,"s9",2,"femur","locking","L","L2","F",2,"s9Lf"
430.24,"s9",2,"femur","locking","L","L3","F",3,"s9Lf"
242.53,"s9",2,"femur","locking","L","L4","F",4,"s9Lf"
200.39,"s9",2,"femur","locking","L","L5","F",5,"s9Lf"
209.14,"s9",2,"femur","locking","R","L1","F",1,"s9Rf"
195.08,"s9",2,"femur","locking","R","L2","F",2,"s9Rf"
354.71,"s9",2,"femur","locking","R","L3","F",3,"s9Rf"
316.68,"s9",2,"femur","locking","R","L4","F",4,"s9Rf"
161.15,"s9",2,"femur","locking","R","L5","F",5,"s9Rf"
