"force","duck.id","screwsize","bone","screwtype","side","location","sex","locationn","bone.id"
171.44,"s3",1.5,"tibiotarsus","cortex","R","L1","M",1,"s3Rt"
604.16,"s3",1.5,"tibiotarsus","cortex","R","L2","M",2,"s3Rt"
343.55,"s3",1.5,"tibiotarsus","cortex","R","L3","M",3,"s3Rt"
323.54,"s3",1.5,"tibiotarsus","cortex","R","L4","M",4,"s3Rt"
195.43,"s3",1.5,"tibiotarsus","cortex","R","L5","M",5,"s3Rt"
117.02,"s5",1.5,"tibiotarsus","cortex","L","L1","M",1,"s5Lt"
299.91,"s5",1.5,"tibiotarsus","cortex","L","L2","M",2,"s5Lt"
252.38,"s5",1.5,"tibiotarsus","cortex","L","L3","M",3,"s5Lt"
260.68,"s5",1.5,"tibiotarsus","cortex","L","L4","M",4,"s5Lt"
109.34,"s5",1.5,"tibiotarsus","cortex","L","L5","M",5,"s5Lt"
198.67,"s5",1.5,"tibiotarsus","cortex","R","L1","M",1,"s5Rt"
304.96,"s5",1.5,"tibiotarsus","cortex","R","L2","M",2,"s5Rt"
230.02,"s5",1.5,"tibiotarsus","cortex","R","L3","M",3,"s5Rt"
221.35,"s5",1.5,"tibiotarsus","cortex","R","L4","M",4,"s5Rt"
161.81,"s5",1.5,"tibiotarsus","cortex","R","L5","M",5,"s5Rt"
217.37,"s7",1.5,"tibiotarsus","cortex","L","L1","M",1,"s7Lt"
443.14,"s7",1.5,"tibiotarsus","cortex","L","L2","M",2,"s7Lt"
292.11,"s7",1.5,"tibiotarsus","cortex","L","L3","M",3,"s7Lt"
282.5,"s7",1.5,"tibiotarsus","cortex","L","L4","M",4,"s7Lt"
178.09,"s7",1.5,"tibiotarsus","cortex","L","L5","M",5,"s7Lt"
186.08,"s7",1.5,"tibiotarsus","cortex","R","L1","M",1,"s7Rt"
536.68,"s7",1.5,"tibiotarsus","cortex","R","L2","M",2,"s7Rt"
111.51,"s7",1.5,"tibiotarsus","cortex","R","L3","M",3,"s7Rt"
321.18,"s7",1.5,"tibiotarsus","cortex","R","L4","M",4,"s7Rt"
97.64,"s7",1.5,"tibiotarsus","cortex","R","L5","M",5,"s7Rt"
188.63,"s8",1.5,"tibiotarsus","cortex","L","L1","F",1,"s8Lt"
336.67,"s8",1.5,"tibiotarsus","cortex","L","L2","F",2,"s8Lt"
238.82,"s8",1.5,"tibiotarsus","cortex","L","L3","F",3,"s8Lt"
200.78,"s8",1.5,"tibiotarsus","cortex","L","L4","F",4,"s8Lt"
179.13,"s8",1.5,"tibiotarsus","cortex","L","L5","F",5,"s8Lt"
244.38,"s8",1.5,"tibiotarsus","cortex","R","L1","F",1,"s8Rt"
439.29,"s8",1.5,"tibiotarsus","cortex","R","L2","F",2,"s8Rt"
253.82,"s8",1.5,"tibiotarsus","cortex","R","L3","F",3,"s8Rt"
265.16,"s8",1.5,"tibiotarsus","cortex","R","L4","F",4,"s8Rt"
106.89,"s8",1.5,"tibiotarsus","cortex","R","L5","F",5,"s8Rt"
149.52,"s10",1.5,"tibiotarsus","locking","L","L1","M",1,"s10Lt"
354.42,"s10",1.5,"tibiotarsus","locking","L","L2","M",2,"s10Lt"
275.4,"s10",1.5,"tibiotarsus","locking","L","L3","M",3,"s10Lt"
414.75,"s10",1.5,"tibiotarsus","locking","L","L4","M",4,"s10Lt"
154.19,"s10",1.5,"tibiotarsus","locking","L","L5","M",5,"s10Lt"
176.77,"s10",1.5,"tibiotarsus","locking","R","L1","M",1,"s10Rt"
327.67,"s10",1.5,"tibiotarsus","locking","R","L2","M",2,"s10Rt"
196.35,"s10",1.5,"tibiotarsus","locking","R","L3","M",3,"s10Rt"
280.37,"s10",1.5,"tibiotarsus","locking","R","L4","M",4,"s10Rt"
75.14,"s10",1.5,"tibiotarsus","locking","R","L5","M",5,"s10Rt"
182.17,"s11",1.5,"tibiotarsus","locking","L","L1","F",1,"s11Lt"
373.33,"s11",1.5,"tibiotarsus","locking","L","L2","F",2,"s11Lt"
278.06,"s11",1.5,"tibiotarsus","locking","L","L3","F",3,"s11Lt"
227.68,"s11",1.5,"tibiotarsus","locking","L","L4","F",4,"s11Lt"
139.1,"s11",1.5,"tibiotarsus","locking","L","L5","F",5,"s11Lt"
171.07,"s11",1.5,"tibiotarsus","locking","R","L1","F",1,"s11Rt"
452.84,"s11",1.5,"tibiotarsus","locking","R","L2","F",2,"s11Rt"
383.22,"s11",1.5,"tibiotarsus","locking","R","L3","F",3,"s11Rt"
267.38,"s11",1.5,"tibiotarsus","locking","R","L4","F",4,"s11Rt"
167.18,"s11",1.5,"tibiotarsus","locking","R","L5","F",5,"s11Rt"
126.71,"s12",1.5,"tibiotarsus","locking","L","L1","F",1,"s12Lt"
403.5,"s12",1.5,"tibiotarsus","locking","L","L2","F",2,"s12Lt"
